# Due Diligence Checklists for Sentinel

## Legal Due Diligence Checklist

### 1. Corporate Organization & Structure

| # | Item | Priority | Guidance | Status |
|---|------|----------|----------|--------|
| 1.1 | Certificate/Articles of Incorporation and all amendments | Critical | Verify current legal name, state of formation, authorized shares |  |
| 1.2 | Bylaws/Operating Agreement and all amendments | Critical | Review governance provisions, voting requirements, transfer restrictions |  |
| 1.3 | Certificate of Good Standing (state of formation) | Critical | Must be dated within 30 days of closing |  |
| 1.4 | Certificates of Good Standing (all qualified states) | High | Verify qualification in all states where doing business |  |
| 1.5 | List of jurisdictions where qualified to do business | High | Cross-reference with locations of employees, property, customers |  |
| 1.6 | Organizational chart (all subsidiaries and affiliates) | Critical | Identify all entities, ownership percentages, jurisdiction |  |
| 1.7 | List of current officers and directors | High | Verify authority to execute transaction documents |  |
| 1.8 | Board meeting minutes (last 3 years) | High | Review for undisclosed commitments, disputes, material decisions |  |
| 1.9 | Shareholder/Member meeting minutes (last 3 years) | High | Verify proper authorization of material actions |  |
| 1.10 | Written consents in lieu of meetings | Medium | Ensure proper execution and filing |  |
| 1.11 | Shareholder/Member agreements | Critical | Identify transfer restrictions, drag-along, tag-along, ROFR |  |
| 1.12 | Voting agreements or voting trusts | High | Understand control dynamics |  |
| 1.13 | Stockholders' list and stock ledger | Critical | Reconcile with cap table |  |
| 1.14 | Stock certificates (or evidence of uncertificated shares) | High | Verify chain of title |  |
| 1.15 | Stock option plans and all amendments | High | Review terms, acceleration provisions |  |
| 1.16 | Outstanding options, warrants, convertible securities | Critical | Calculate fully diluted capitalization |  |
| 1.17 | 409A valuation reports | High | Verify option pricing compliance |  |
| 1.18 | Previous financing documents (all rounds) | High | Identify surviving rights, anti-dilution, preferences |  |
| 1.19 | Investor rights agreements | Critical | Review registration rights, information rights, board seats |  |
| 1.20 | Right of first refusal/Co-sale agreements | High | Understand transfer mechanics and waivers needed |  |

### 2. Material Contracts

| # | Item | Priority | Guidance | Status |
|---|------|----------|----------|--------|
| 2.1 | Schedule of all material contracts (>$100K annual value) | Critical | Ensure completeness of contract review |  |
| 2.2 | Top 10 customer contracts by revenue | Critical | Analyze concentration, terms, renewal risk |  |
| 2.3 | Top 10 supplier/vendor contracts by spend | Critical | Identify critical suppliers, pricing commitments |  |
| 2.4 | Contracts with change of control provisions | Critical | Flag termination rights, consent requirements |  |
| 2.5 | Contracts requiring consent to assign | Critical | Identify consents needed for closing |  |
| 2.6 | Distribution/reseller agreements | High | Review exclusivity, territory, termination |  |
| 2.7 | Sales representative/agency agreements | High | Review commission obligations, termination |  |
| 2.8 | Joint venture/partnership agreements | High | Understand governance, exit rights, obligations |  |
| 2.9 | Strategic alliance agreements | High | Review exclusivity, IP sharing, non-competes |  |
| 2.10 | Government contracts and subcontracts | Critical | Review compliance, assignment restrictions, termination |  |
| 2.11 | Contracts with related parties | High | Verify arm's length terms |  |
| 2.12 | Contracts with MFN (most favored nation) clauses | High | Assess pricing risk and compliance |  |
| 2.13 | Contracts with exclusivity provisions | High | Evaluate business restrictions |  |
| 2.14 | Non-compete agreements (as party bound) | High | Review scope and duration of restrictions |  |
| 2.15 | Guaranty agreements | Critical | Identify contingent liabilities |  |
| 2.16 | Indemnification agreements | High | Assess exposure and coverage |  |
| 2.17 | Powers of attorney | Medium | Verify scope and current status |  |
| 2.18 | Agreements with standstill provisions | High | Review duration and restrictions |  |
| 2.19 | Material contracts expiring within 12 months | High | Assess renewal risk and strategy |  |
| 2.20 | Contracts with unusual or non-standard terms | High | Flag for deal team review |  |

### 3. Intellectual Property

| # | Item | Priority | Guidance | Status |
|---|------|----------|----------|--------|
| 3.1 | Schedule of all patents (issued and pending) | Critical | Include patent number, title, filing date, expiration |  |
| 3.2 | Schedule of all trademarks (registered and common law) | Critical | Include registration number, class, status |  |
| 3.3 | Schedule of all copyrights | High | Include registration number, work description |  |
| 3.4 | Schedule of all domain names | High | Verify ownership and renewal dates |  |
| 3.5 | Schedule of all trade secrets | High | Verify protection measures in place |  |
| 3.6 | IP assignment agreements (employees) | Critical | Verify all current employees have signed |  |
| 3.7 | IP assignment agreements (contractors) | Critical | Verify all contractors have assigned work product |  |
| 3.8 | IP assignment agreements (founders/prior) | Critical | Verify chain of title from inception |  |
| 3.9 | Invention disclosure records | Medium | Review process for capturing IP |  |
| 3.10 | IP license agreements (inbound) | Critical | Review scope, restrictions, termination, fees |  |
| 3.11 | IP license agreements (outbound) | Critical | Review scope, exclusivity, revenue share |  |
| 3.12 | Technology transfer agreements | High | Understand IP sharing arrangements |  |
| 3.13 | Source code escrow agreements | Medium | Review trigger conditions, beneficiaries |  |
| 3.14 | Software license agreements (third-party) | High | Review compliance, assignment, usage rights |  |
| 3.15 | Open source software inventory | Critical | Identify copyleft licenses, compliance |  |
| 3.16 | Open source policy and compliance procedures | High | Verify ongoing compliance process |  |
| 3.17 | IP-related litigation history | Critical | Review outcomes, ongoing exposure |  |
| 3.18 | Cease and desist letters (sent) | High | Understand enforcement history |  |
| 3.19 | Cease and desist letters (received) | Critical | Assess infringement risk |  |
| 3.20 | Freedom to operate opinions | High | Verify product clearance |  |
| 3.21 | IP insurance policies | Medium | Review coverage for defense and indemnity |  |
| 3.22 | IP maintenance fee records | Medium | Verify timely payment of maintenance fees |  |

### 4. Real Property

| # | Item | Priority | Guidance | Status |
|---|------|----------|----------|--------|
| 4.1 | Schedule of all owned real property | High | Include address, use, acquisition date, value |  |
| 4.2 | Deeds for owned property | High | Verify ownership and legal description |  |
| 4.3 | Title insurance policies | High | Review exceptions and coverage |  |
| 4.4 | Surveys | Medium | Review for encroachments, easements |  |
| 4.5 | Schedule of all leased real property | Critical | Include address, landlord, term, rent |  |
| 4.6 | Real property lease agreements and amendments | Critical | Review term, renewal, assignment, CoC provisions |  |
| 4.7 | Subleases (as sublandlord) | High | Review terms, compliance with master lease |  |
| 4.8 | Subleases (as subtenant) | High | Review term alignment with master lease |  |
| 4.9 | Lease guarantees | High | Identify guarantor obligations |  |
| 4.10 | Estoppel certificates | Medium | Obtain for closing if required |  |
| 4.11 | SNDAs (Subordination, Non-Disturbance, Attornment) | Medium | Review lender protections |  |
| 4.12 | Notices from landlords | High | Review for defaults, violations |  |
| 4.13 | Property tax assessments and bills | Medium | Verify current payment status |  |
| 4.14 | Zoning and land use permits | High | Verify compliance with current use |  |
| 4.15 | Certificates of occupancy | High | Verify current validity |  |
| 4.16 | ADA compliance documentation | Medium | Review accessibility compliance |  |
| 4.17 | Property condition assessments | Medium | Review for deferred maintenance |  |
| 4.18 | Property insurance policies | High | Review coverage and claims history |  |
| 4.19 | Mortgages and deeds of trust | Critical | Identify liens and payoff amounts |  |
| 4.20 | Purchase options or rights of first refusal | High | Review terms and expiration |  |

### 5. Employment & Labor

| # | Item | Priority | Guidance | Status |
|---|------|----------|----------|--------|
| 5.1 | Employee census | Critical | Name, title, hire date, salary, bonus, location, status |  |
| 5.2 | Current organizational chart | High | Verify reporting structure |  |
| 5.3 | Employment agreements (executives) | Critical | Review term, compensation, severance, CoC provisions |  |
| 5.4 | Employment agreements (key employees) | High | Identify retention risks |  |
| 5.5 | Offer letter templates | Medium | Review standard terms |  |
| 5.6 | Employee handbook | High | Review policies, at-will disclaimers |  |
| 5.7 | Independent contractor agreements | High | Review classification, IP assignment |  |
| 5.8 | Consulting agreements | High | Review scope, term, IP provisions |  |
| 5.9 | Non-competition agreements | High | Review scope, enforceability by state |  |
| 5.10 | Non-solicitation agreements | High | Review scope of restrictions |  |
| 5.11 | Confidentiality/NDA agreements | Critical | Verify all employees and contractors have signed |  |
| 5.12 | Invention assignment agreements | Critical | Verify coverage for all employees |  |
| 5.13 | Commission/bonus plans | High | Review terms, acceleration provisions |  |
| 5.14 | Incentive compensation plans | High | Review metrics, payout provisions |  |
| 5.15 | Retention agreements/bonuses | High | Identify commitments |  |
| 5.16 | Severance agreements (executed) | High | Review ongoing obligations |  |
| 5.17 | Severance plan/policy | High | Review CoC and termination triggers |  |
| 5.18 | Change of control agreements | Critical | Calculate potential payout obligations |  |
| 5.19 | 401(k) plan documents | High | Review compliance, matching obligations |  |
| 5.20 | 401(k) compliance testing | High | Verify non-discrimination testing |  |
| 5.21 | Health insurance plan documents | High | Review coverage, COBRA compliance |  |
| 5.22 | Other benefit plan documents | Medium | Dental, vision, life, disability, etc. |  |
| 5.23 | Plan summary descriptions (SPDs) | Medium | Verify distribution compliance |  |
| 5.24 | ERISA compliance documentation | High | Review fiduciary compliance |  |
| 5.25 | Form 5500 filings (last 3 years) | Medium | Review for issues |  |
| 5.26 | Pension/defined benefit plans | Critical | Review funding status, PBGC obligations |  |
| 5.27 | Deferred compensation plans | High | Review 409A compliance |  |
| 5.28 | Worker classification analysis | High | Review IC vs employee classification |  |
| 5.29 | I-9 compliance audit | High | Verify immigration compliance |  |
| 5.30 | H-1B and other visa documentation | High | Identify sponsored employees |  |
| 5.31 | WARN Act analysis | Critical | Review for closing-related obligations |  |
| 5.32 | Collective bargaining agreements | Critical | Review terms, grievances, negotiations |  |
| 5.33 | Union correspondence | High | Review for organizing activity |  |
| 5.34 | NLRB proceedings | Critical | Review pending matters |  |
| 5.35 | Workers compensation policies | High | Review coverage and claims |  |
| 5.36 | Workers compensation claims history | High | Identify trends and exposure |  |
